dataType: iteration-based
legend: [x,y,z,\theta_x,\theta_y,\theta_z]
    - [-934.984, 4.67496, -935, 0, 0, -3.06681]
    - [-935.984, 4.67996, -936, 0, 0, -3.07681]
    - [-936.984, 4.68496, -937, 0, 0, -3.08681]
    - [-937.984, 4.68996, -938, 0, 0, -3.09681]
    - [-938.984, 4.69496, -939, 0, 0, -3.10681]
    - [-939.984, 4.69996, -940, 0, 0, -3.11681]
    - [-940.984, 4.70496, -941, 0, 0, -3.12681]
    - [-941.984, 4.70996, -942, 0, 0, -3.13681]
    - [-942.984, 4.71496, -943, 0, 0, 3.13637]
    - [-943.984, 4.71996, -944, 0, 0, 3.12637]
    - [-944.984, 4.72496, -945, 0, 0, 3.11637]
    - [-945.984, 4.72996, -946, 0, 0, 3.10637]
    - [-946.984, 4.73496, -947, 0, 0, 3.09637]
    - [-947.984, 4.73996, -948, 0, 0, 3.08637]
    - [-948.984, 4.74496, -949, 0, 0, 3.07637]
    - [-949.984, 4.74996, -950, 0, 0, 3.06637]
    - [-950.984, 4.75496, -951, 0, 0, 3.05637]
    - [-951.984, 4.75996, -952, 0, 0, 3.04637]
    - [-952.984, 4.76496, -953, 0, 0, 3.03637]
    - [-953.984, 4.76996, -954, 0, 0, 3.02637]
    - [-954.984, 4.77496, -955, 0, 0, 3.01637]
    - [-955.984, 4.77996, -956, 0, 0, 3.00637]
    - [-956.984, 4.78496, -957, 0, 0, 2.99637]
    - [-957.984, 4.78996, -958, 0, 0, 2.98637]
    - [-958.984, 4.79496, -959, 0, 0, 2.97637]
    - [-959.984, 4.79996, -960, 0, 0, 2.96637]
    - [-960.984, 4.80496, -961, 0, 0, 2.95637]
    - [-961.984, 4.80996, -962, 0, 0, 2.94637]
    - [-962.984, 4.81496, -963, 0, 0, 2.93637]
    - [-963.984, 4.81996, -964, 0, 0, 2.92637]
    - [-964.984, 4.82496, -965, 0, 0, 2.91637]
    - [-965.984, 4.82996, -966, 0, 0, 2.90637]
    - [-966.984, 4.83496, -967, 0, 0, 2.89637]
    - [-967.984, 4.83996, -968, 0, 0, 2.88637]
    - [-968.984, 4.84496, -969, 0, 0, 2.87637]
    - [-969.984, 4.84996, -970, 0, 0, 2.86637]
    - [-970.984, 4.85496, -971, 0, 0, 2.85637]
    - [-971.984, 4.85996, -972, 0, 0, 2.84637]
    - [-972.984, 4.86496, -973, 0, 0, 2.83637]
    - [-973.984, 4.86996, -974, 0, 0, 2.82637]
    - [-974.984, 4.87496, -975, 0, 0, 2.81637]
    - [-975.984, 4.87996, -976, 0, 0, 2.80637]
    - [-976.984, 4.88496, -977, 0, 0, 2.79637]
    - [-977.984, 4.88996, -978, 0, 0, 2.78637]
    - [-978.984, 4.89496, -979, 0, 0, 2.77637]
    - [-979.984, 4.89996, -980, 0, 0, 2.76637]
    - [-980.984, 4.90496, -981, 0, 0, 2.75637]
    - [-981.984, 4.90996, -982, 0, 0, 2.74637]
    - [-982.984, 4.91496, -983, 0, 0, 2.73637]
    - [-983.984, 4.91996, -984, 0, 0, 2.72637]
    - [-984.984, 4.92496, -985, 0, 0, 2.71637]
    - [-985.984, 4.92996, -986, 0, 0, 2.70637]
    - [-986.984, 4.93496, -987, 0, 0, 2.69637]
    - [-987.984, 4.93996, -988, 0, 0, 2.68637]
    - [-988.984, 4.94496, -989, 0, 0, 2.67637]
    - [-989.984, 4.94996, -990, 0, 0, 2.66637]
    - [-990.983, 4.95496, -991, 0, 0, 2.65637]
    - [-991.983, 4.95996, -992, 0, 0, 2.64637]
    - [-992.983, 4.96496, -993, 0, 0, 2.63637]
    - [-993.983, 4.96996, -994, 0, 0, 2.62637]
    - [-994.983, 4.97496, -995, 0, 0, 2.61637]
    - [-995.983, 4.97996, -996, 0, 0, 2.60637]
    - [-996.983, 4.98496, -997, 0, 0, 2.59637]
    - [-997.983, 4.98996, -998, 0, 0, 2.58637]
    - [-998.983, 4.99496, -999, 0, 0, 2.57637]
    - [-999.983, 4.99996, -1000, 0, 0, 2.56637]
