dataType: iteration-based
legend: [v_x,v_y,v_z,\omega_x,\omega_y,\omega_z]
    - [-0.999395, 0.034771, 1, 0, 0, 0.01]
    - [-0.999693, 0.0247754, 1, 0, 0, 0.01]
    - [-0.999891, 0.0147774, 1, 0, 0, 0.01]
    - [-0.999989, 0.00477794, 1, 0, 0, 0.01]
    - [-0.999986, -0.00522202, 1, 0, 0, 0.01]
    - [-0.999884, -0.0152215, 1, 0, 0, 0.01]
    - [-0.999682, -0.0252194, 1, 0, 0, 0.01]
    - [-0.99938, -0.0352148, 1, 0, 0, 0.01]
    - [-0.998978, -0.0452066, 1, 0, 0, 0.01]
    - [-0.998476, -0.055194, 1, 0, 0, 0.01]
    - [-0.997874, -0.0651758, 1, 0, 0, 0.01]
    - [-0.997172, -0.0751511, 1, 0, 0, 0.01]
    - [-0.996371, -0.0851189, 1, 0, 0, 0.01]
    - [-0.99547, -0.0950782, 1, 0, 0, 0.01]
    - [-0.994469, -0.105028, 1, 0, 0, 0.01]
    - [-0.993369, -0.114967, 1, 0, 0, 0.01]
    - [-0.99217, -0.124895, 1, 0, 0, 0.01]
    - [-0.990871, -0.13481, 1, 0, 0, 0.01]
    - [-0.989474, -0.144712, 1, 0, 0, 0.01]
    - [-0.987977, -0.154599, 1, 0, 0, 0.01]
    - [-0.986382, -0.164471, 1, 0, 0, 0.01]
    - [-0.984688, -0.174327, 1, 0, 0, 0.01]
    - [-0.982895, -0.184165, 1, 0, 0, 0.01]
    - [-0.981005, -0.193984, 1, 0, 0, 0.01]
    - [-0.979016, -0.203785, 1, 0, 0, 0.01]
    - [-0.976929, -0.213564, 1, 0, 0, 0.01]
    - [-0.974745, -0.223323, 1, 0, 0, 0.01]
    - [-0.972463, -0.233059, 1, 0, 0, 0.01]
    - [-0.970083, -0.242772, 1, 0, 0, 0.01]
    - [-0.967607, -0.25246, 1, 0, 0, 0.01]
    - [-0.965034, -0.262124, 1, 0, 0, 0.01]
    - [-0.962365, -0.271761, 1, 0, 0, 0.01]
    - [-0.959599, -0.281371, 1, 0, 0, 0.01]
    - [-0.956738, -0.290952, 1, 0, 0, 0.01]
    - [-0.95378, -0.300505, 1, 0, 0, 0.01]
    - [-0.950728, -0.310028, 1, 0, 0, 0.01]
    - [-0.94758, -0.319519, 1, 0, 0, 0.01]
    - [-0.944337, -0.328979, 1, 0, 0, 0.01]
    - [-0.941, -0.338406, 1, 0, 0, 0.01]
    - [-0.937569, -0.347799, 1, 0, 0, 0.01]
    - [-0.934044, -0.357157, 1, 0, 0, 0.01]
    - [-0.930426, -0.366479, 1, 0, 0, 0.01]
    - [-0.926715, -0.375765, 1, 0, 0, 0.01]
    - [-0.922911, -0.385013, 1, 0, 0, 0.01]
    - [-0.919015, -0.394223, 1, 0, 0, 0.01]
    - [-0.915027, -0.403393, 1, 0, 0, 0.01]
    - [-0.910947, -0.412523, 1, 0, 0, 0.01]
    - [-0.906776, -0.421612, 1, 0, 0, 0.01]
    - [-0.902515, -0.430658, 1, 0, 0, 0.01]
    - [-0.898163, -0.439662, 1, 0, 0, 0.01]
    - [-0.893722, -0.448621, 1, 0, 0, 0.01]
    - [-0.889191, -0.457536, 1, 0, 0, 0.01]
    - [-0.884571, -0.466405, 1, 0, 0, 0.01]
    - [-0.879863, -0.475227, 1, 0, 0, 0.01]
    - [-0.875067, -0.484002, 1, 0, 0, 0.01]
    - [-0.870183, -0.492728, 1, 0, 0, 0.01]
    - [-0.865213, -0.501405, 1, 0, 0, 0.01]
    - [-0.860155, -0.510032, 1, 0, 0, 0.01]
    - [-0.855012, -0.518608, 1, 0, 0, 0.01]
    - [-0.849783, -0.527132, 1, 0, 0, 0.01]
    - [-0.84447, -0.535603, 1, 0, 0, 0.01]
